NL, AC, COUNT
92, 104, 37
92, 96, 52
96, 88, 28
90, 96, 34
92, 96, 52
92, 88, 52
94, 88, 53
94, 104, 29
94, 96, 96
96, 104, 3
88, 96, 28
94, 88, 53
94, 96, 96
90, 88, 20
96, 96, 25
88, 88, 2
94, 88, 53
92, 112, 4
94, 104, 29
94, 96, 96
96, 96, 25
90, 88, 20
96, 80, 1
92, 88, 52
86, 112, 1
92, 104, 37
88, 104, 19
94, 112, 3
90, 104, 3
92, 80, 2
90, 80, 1
94, 80, 1
96, 88, 28
94, 96, 96
94, 104, 29
92, 88, 52
90, 88, 20
88, 96, 28
88, 104, 19
88, 104, 19
88, 96, 28
94, 120, 4
94, 120, 4
92, 112, 4
